"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Feb 10 00:50:45 GMT 2025","Mon Feb 10 00:50:45 GMT 2025","205","","","","","","Fill in admin login with one correct user data",""
"broken","Mon Feb 10 00:50:45 GMT 2025","Mon Feb 10 00:50:45 GMT 2025","207","","","","","","Check Login title",""
"broken","Mon Feb 10 00:50:45 GMT 2025","Mon Feb 10 00:50:45 GMT 2025","259","","","","","","Fill in student login with one incorrect userName data",""
"broken","Mon Feb 10 00:50:44 GMT 2025","Mon Feb 10 00:50:44 GMT 2025","203","","","","","","Admin creates a new student account",""
"broken","Mon Feb 10 00:50:44 GMT 2025","Mon Feb 10 00:50:44 GMT 2025","205","","","","","","Admin searches for a student account by Student ID",""
"broken","Mon Feb 10 00:50:41 GMT 2025","Mon Feb 10 00:50:44 GMT 2025","2682","","","","","","Admin lists all student accounts",""
"broken","Mon Feb 10 00:50:44 GMT 2025","Mon Feb 10 00:50:45 GMT 2025","204","","","","","","Admin deletes a student account",""
"broken","Mon Feb 10 00:50:45 GMT 2025","Mon Feb 10 00:50:46 GMT 2025","204","","","","","","Fill in student login with multiple correct user data -- @1.2 ",""
"broken","Mon Feb 10 00:50:44 GMT 2025","Mon Feb 10 00:50:44 GMT 2025","203","","","","","","Admin modifies a student account",""
"broken","Mon Feb 10 00:50:45 GMT 2025","Mon Feb 10 00:50:45 GMT 2025","204","","","","","","Fill in student login with multiple correct user data -- @1.1 ",""
"broken","Mon Feb 10 00:50:44 GMT 2025","Mon Feb 10 00:50:44 GMT 2025","206","","","","","","Admin searches for a student account by Student Name",""
